"Grupo de edad (años)","Total","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","SEXO","AÑO"
"50-54","84,138","7,687","3,724","5,122","6,062","5,244","5,437","6,398","4,974","4,824","5,127","5,822","6,247","6,439","5,982","5,049","Hombre","2022"
"55-59","71,654","6,287","3,520","4,558","5,172","4,388","4,718","5,429","3,892","4,111","4,312","4,757","5,162","5,543","5,408","4,397","Hombre","2022"
"60-64","66,816","5,695","3,679","3,966","4,370","4,080","4,422","5,007","3,335","3,863","4,073","4,491","4,965","5,601","5,217","4,052","Hombre","2022"
"65-69","59,348","4,954","3,530","3,502","3,771","3,584","3,879","4,412","2,983","3,355","3,375","4,042","4,482","5,135","4,929","3,415","Hombre","2022"
"70-74","49,474","3,866","2,860","2,940","3,259","3,019","3,152","3,733","2,592","2,875","3,003","3,250","3,668","4,314","4,041","2,902","Hombre","2022"
"75-79","37,483","2,742","2,122","2,239","2,439","2,334","2,511","2,859","1,918","2,239","2,309","2,585","2,815","3,204","2,909","2,258","Hombre","2022"
"80 y más","46,498","3,596","2,871","2,893","2,567","2,936","3,213","3,505","1,757","2,571","2,777","3,251","3,480","4,415","3,941","2,725","Hombre","2022"
"Total","1,631,371","128,834","82,696","101,970","125,181","101,218","100,679","127,975","119,379","88,418","90,533","100,316","114,411","128,371","124,327","97,063","Mujer","2022"
"0-4","97,246","7,847","3,218","5,489","9,246","5,175","5,309","8,486","11,219","5,758","5,208","5,419","6,708","6,664","6,068","5,432","Mujer","2022"
"5-9","97,358","7,335","3,184","5,441","9,614","5,205","5,236","8,693","11,059","6,096","5,504","6,058","6,603","6,328","5,511","5,491","Mujer","2022"
"10-14","95,585","7,277","3,132","5,432","9,750","5,181","4,799","8,576","10,818","5,991","5,645","5,770","6,197","5,996","5,408","5,613","Mujer","2022"
"15-19","97,059","7,706","4,587","5,711","9,358","5,312","4,911","8,223","10,264","5,847","5,326","5,705","6,055","6,167","6,467","5,420","Mujer","2022"
"20-24","94,828","9,095","6,978","6,665","7,573","5,440","4,841","7,418","8,225","4,575","4,607","4,639","5,312","6,311","8,062","5,087","Mujer","2022"
"25-29","104,947","10,208","6,753","7,203","7,772","6,742","6,098","7,662","7,528","4,818","4,894","5,344","6,732","7,969","9,172","6,052","Mujer","2022"
"30-34","113,124","9,395","5,630","7,197","8,473","7,500","7,311","8,367","7,588","5,363","5,641","6,376","8,482","9,418","9,293","7,090","Mujer","2022"
"35-39","117,920","9,565","5,043","7,530","8,780","7,706","7,732","8,716","8,101","6,134","6,272","7,139","8,864","9,989","9,136","7,213","Mujer","2022"
"40-44","114,935","9,146","4,998","7,209","8,783","7,222","7,237","8,877","7,989","6,261","6,401","7,418","8,160","9,307","8,806","7,121","Mujer","2022"
"45-49","110,110","8,610","5,107","6,986","8,158","6,908","7,018","8,476","7,122","5,999","6,447","7,163","8,018","8,775","8,295","7,028","Mujer","2022"
"50-54","95,327","7,329","4,766","5,921","6,827","6,142","6,426","7,464","5,399","5,010","5,668","6,267","7,056","7,831","7,328","5,893","Mujer","2022"
"55-59","85,341","6,477","4,682","5,392","5,787","5,637","5,724","6,411","4,521","4,477","5,039","5,669","6,137","7,245","6,939","5,204","Mujer","2022"
"60-64","85,023","6,300","4,971","5,399","5,423","5,594","5,799","6,249","4,453","4,380","4,764","5,551","6,262","7,569","7,155","5,154","Mujer","2022"
"65-69","81,281","5,921","4,873","5,178","5,211","5,383","5,430","5,890","4,177","4,397","4,565","5,241","5,914","7,366","6,927","4,808","Mujer","2022"
"70-74","74,004","5,135","4,460","4,671","4,659","4,838","5,056","5,462","3,855","4,098","4,381","4,912","5,483","6,377","6,197","4,420","Mujer","2022"
"75-79","63,094","4,302","3,499","4,026","3,895","4,044","4,176","4,811","3,125","3,698","3,886","4,333","4,785","5,568","5,129","3,817","Mujer","2022"
"80 y más","104,189","7,186","6,815","6,520","5,872","7,189","7,576","8,194","3,936","5,516","6,285","7,312","7,643","9,491","8,434","6,220","Mujer","2022"
"Total","1,452,588","129,720","66,613","91,710","115,782","86,697","85,205","114,725","111,061","83,322","80,282","89,846","100,943","108,282","102,938","85,462","Hombre","2023"
"0-4","102,170","8,742","3,530","6,039","9,813","5,449","5,446","9,083","11,487","6,087","5,342","5,584","6,869","7,109","6,070","5,520","Hombre","2023"
"5-9","102,437","7,994","3,382","5,993","9,947","5,655","5,332","9,026","11,344","6,629","5,905","6,258","6,751","6,640","5,688","5,893","Hombre","2023"
"10-14","100,599","7,996","3,318","5,924","10,272","5,427","4,985","8,922","11,114","6,724","5,475","6,334","6,455","6,436","5,515","5,702","Hombre","2023"
"15-19","101,410","8,530","4,201","6,021","9,727","5,614","5,078","8,711","10,379","6,247","5,728","6,062","6,487","6,590","6,150","5,885","Hombre","2023"
"20-24","95,929","10,265","5,877","6,764","7,959","5,510","4,767","7,573","8,261","4,999","4,693","5,069","5,602","6,121","7,218","5,251","Hombre","2023"
"25-29","100,876","10,946","5,806","7,203","7,707","6,333","5,564","7,498","7,623","4,918","4,819","5,450","6,311","6,951","7,984","5,763","Hombre","2023"
"30-34","105,502","10,430","4,858","7,239","7,717","6,846","6,460","7,669","7,110","5,330","5,273","6,045","7,720","8,043","8,175","6,587","Hombre","2023"
"35-39","112,174","10,381","4,574","7,312","8,468","6,974","7,052","8,534","7,686","6,165","5,945","6,881","8,281","8,953","8,152","6,816","Hombre","2023"
"40-44","107,590","9,761","4,225","7,082","8,538","6,662","6,471","8,124","7,567","6,258","5,806","6,776","7,648","8,344","7,845","6,483","Hombre","2023"
"45-49","102,610","9,215","4,297","6,550","7,554","6,282","6,346","7,774","6,635","5,789","5,999","6,839","7,567","8,004","7,312","6,447","Hombre","2023"
"50-54","87,410","8,015","3,859","5,322","6,306","5,446","5,645","6,651","5,187","5,011","5,319","6,036","6,488","6,681","6,206","5,238","Hombre","2023"
"55-59","72,178","6,355","3,537","4,592","5,217","4,419","4,750","5,472","3,936","4,141","4,337","4,783","5,199","5,577","5,440","4,423","Hombre","2023"
"60-64","66,550","5,693","3,656","3,951","4,359","4,063","4,402","4,991","3,335","3,848","4,052","4,464","4,944","5,573","5,189","4,030","Hombre","2023"
"65-69","59,944","5,021","3,556","3,538","3,814","3,619","3,916","4,460","3,025","3,389","3,405","4,075","4,528","5,181","4,972","3,445","Hombre","2023"
"70-74","49,775","3,904","2,870","2,958","3,284","3,037","3,170","3,758","2,618","2,893","3,017","3,263","3,690","4,335","4,062","2,916","Hombre","2023"
"75-79","38,099","2,796","2,151","2,276","2,483","2,372","2,551","2,908","1,958","2,276","2,344","2,623","2,861","3,254","2,953","2,293","Hombre","2023"
"80 y más","47,335","3,676","2,916","2,946","2,617","2,989","3,270","3,571","1,796","2,618","2,823","3,304","3,542","4,490","4,007","2,770","Hombre","2023"
"Total","1,631,182","128,777","82,715","101,972","125,155","101,210","100,670","127,949","119,319","88,411","90,529","100,319","114,392","128,368","124,330","97,066","Mujer","2023"
"0-4","96,295","7,772","3,185","5,436","9,160","5,123","5,254","8,402","11,121","5,700","5,154","5,363","6,640","6,597","6,009","5,379","Mujer","2023"
"5-9","96,747","7,290","3,164","5,408","9,558","5,171","5,201","8,637","11,001","6,056","5,466","6,016","6,560","6,286","5,476","5,457","Mujer","2023"
"10-14","95,222","7,251","3,119","5,412","9,718","5,161","4,778","8,542","10,788","5,966","5,620","5,744","6,172","5,971","5,388","5,592","Mujer","2023"
"15-19","97,339","7,729","4,600","5,728","9,391","5,327","4,922","8,245","10,304","5,862","5,338","5,718","6,071","6,183","6,486","5,435","Mujer","2023"
"20-24","95,043","9,118","6,993","6,681","7,594","5,451","4,850","7,434","8,252","4,584","4,614","4,647","5,322","6,323","8,081","5,099","Mujer","2023"
"25-29","103,278","10,048","6,645","7,089","7,652","6,634","5,998","7,539","7,416","4,741","4,813","5,257","6,623","7,840","9,027","5,956","Mujer","2023"
"30-34","110,053","9,142","5,476","7,002","8,247","7,296","7,110","8,139","7,390","5,216","5,484","6,200","8,250","9,161","9,042","6,898","Mujer","2023"
"35-39","118,000","9,573","5,046","7,535","8,791","7,710","7,734","8,721","8,117","6,137","6,273","7,140","8,868","9,993","9,143","7,219","Mujer","2023"
"40-44","114,388","9,104","4,974","7,175","8,746","7,186","7,200","8,834","7,960","6,231","6,366","7,378","8,121","9,260","8,765","7,088","Mujer","2023"
"45-49","111,291","8,705","5,161","7,062","8,250","6,982","7,091","8,566","7,206","6,062","6,513","7,236","8,102","8,867","8,385","7,103","Mujer","2023"
"50-54","98,505","7,574","4,925","6,120","7,059","6,345","6,638","7,713","5,585","5,176","5,854","6,472","7,290","8,091","7,573","6,090","Mujer","2023"
"55-59","85,492","6,490","4,690","5,402","5,801","5,647","5,732","6,422","4,534","4,484","5,045","5,676","6,146","7,258","6,952","5,213","Mujer","2023"
"60-64","84,145","6,237","4,919","5,345","5,370","5,536","5,737","6,184","4,409","4,334","4,712","5,491","6,198","7,489","7,082","5,102","Mujer","2023"
"65-69","81,699","5,953","4,897","5,206","5,241","5,410","5,456","5,920","4,203","4,419","4,586","5,266","5,943","7,402","6,964","4,833","Mujer","2023"
"70-74","74,193","5,151","4,471","4,684","4,674","4,850","5,067","5,475","3,869","4,108","4,390","4,921","5,496","6,392","6,213","4,432","Mujer","2023"
"75-79","63,937","4,359","3,545","4,080","3,950","4,098","4,231","4,875","3,171","3,747","3,937","4,389","4,848","5,641","5,198","3,868","Mujer","2023"
"80 y más","105,555","7,281","6,905","6,607","5,953","7,283","7,671","8,301","3,993","5,588","6,364","7,405","7,742","9,614","8,546","6,302","Mujer","2023"
"Total","1,454,716","130,266","66,588","91,816","116,001","86,799","85,315","114,937","111,433","83,445","80,339","89,870","101,089","108,360","102,979","85,479","Hombre","2024"
"0-4","101,130","8,676","3,483","5,976","9,723","5,390","5,385","8,993","11,409","6,025","5,279","5,515","6,796","7,026","5,998","5,456","Hombre","2024"
"5-9","101,700","7,958","3,348","5,948","9,885","5,611","5,289","8,964","11,301","6,579","5,854","6,200","6,699","6,584","5,638","5,842","Hombre","2024"
"10-14","100,390","8,001","3,301","5,909","10,262","5,413","4,970","8,907","11,128","6,707","5,454","6,308","6,439","6,414","5,495","5,682","Hombre","2024"
"15-19","101,138","8,531","4,177","6,004","9,711","5,596","5,059","8,691","10,387","6,229","5,704","6,034","6,467","6,564","6,124","5,860","Hombre","2024"
"20-24","97,411","10,453","5,950","6,867","8,091","5,593","4,837","7,694","8,418","5,075","4,759","5,137","5,686","6,208","7,318","5,325","Hombre","2024"
"25-29","99,642","10,843","5,720","7,113","7,622","6,253","5,492","7,411","7,556","4,857","4,753","5,373","6,232","6,857","7,875","5,685","Hombre","2024"
"30-34","103,598","10,271","4,757","7,107","7,588","6,720","6,339","7,534","7,008","5,234","5,171","5,925","7,579","7,889","8,016","6,460","Hombre","2024"
"35-39","111,366","10,336","4,529","7,258","8,418","6,921","6,997","8,478","7,659","6,120","5,894","6,819","8,219","8,879","8,081","6,758","Hombre","2024"
"40-44","107,087","9,744","4,196","7,048","8,509","6,628","6,436","8,091","7,559","6,228","5,771","6,731","7,610","8,295","7,797","6,444","Hombre","2024"
"45-49","103,674","9,339","4,329","6,617","7,642","6,345","6,408","7,860","6,729","5,849","6,053","6,898","7,644","8,078","7,377","6,506","Hombre","2024"
"50-54","90,575","8,330","3,987","5,514","6,542","5,642","5,846","6,897","5,395","5,193","5,505","6,244","6,722","6,915","6,422","5,421","Hombre","2024"
"55-59","73,205","6,465","3,577","4,657","5,298","4,480","4,815","5,554","4,007","4,201","4,394","4,843","5,273","5,650","5,510","4,481","Hombre","2024"
"60-64","66,347","5,694","3,635","3,939","4,352","4,050","4,386","4,980","3,337","3,837","4,035","4,443","4,929","5,550","5,167","4,013","Hombre","2024"
"65-69","60,420","5,077","3,575","3,566","3,850","3,647","3,947","4,499","3,061","3,417","3,428","4,100","4,563","5,217","5,005","3,468","Hombre","2024"
"70-74","50,105","3,942","2,881","2,978","3,311","3,056","3,189","3,786","2,646","2,913","3,034","3,279","3,715","4,361","4,082","2,932","Hombre","2024"
"75-79","38,669","2,847","2,178","2,311","2,524","2,407","2,588","2,954","1,995","2,311","2,376","2,658","2,904","3,299","2,993","2,324","Hombre","2024"
"80 y más","48,259","3,759","2,965","3,004","2,673","3,047","3,332","3,644","1,838","2,670","2,875","3,363","3,612","4,574","4,081","2,822","Hombre","2024"
"Total","1,630,767","128,656","82,757","101,974","125,095","101,192","100,649","127,891","119,190","88,394","90,520","100,325","114,353","128,363","124,336","97,072","Mujer","2024"
"0-4","95,310","7,690","3,153","5,381","9,071","5,070","5,198","8,314","11,015","5,641","5,099","5,306","6,571","6,528","5,948","5,325","Mujer","2024"
"5-9","96,044","7,235","3,141","5,369","9,494","5,132","5,161","8,572","10,929","6,011","5,424","5,971","6,511","6,239","5,437","5,418","Mujer","2024"
"10-14","95,056","7,236","3,114","5,403","9,706","5,151","4,768","8,525","10,777","5,955","5,607","5,732","6,160","5,960","5,379","5,583","Mujer","2024"
"15-19","96,827","7,685","4,575","5,699","9,347","5,298","4,894","8,200","10,257","5,831","5,307","5,686","6,038","6,150","6,452","5,408","Mujer","2024"
"20-24","96,051","9,211","7,066","6,753","7,678","5,508","4,902","7,511","8,346","4,632","4,661","4,695","5,378","6,389","8,167","5,154","Mujer","2024"
"25-29","101,570","9,878","6,535","6,974","7,530","6,523","5,896","7,413","7,299","4,662","4,732","5,168","6,512","7,710","8,879","5,859","Mujer","2024"
"30-34","107,663","8,942","5,357","6,851","8,073","7,137","6,952","7,961","7,235","5,103","5,363","6,063","8,070","8,961","8,846","6,749","Mujer","2024"
"35-39","117,090","9,497","5,007","7,479","8,728","7,650","7,671","8,652","8,061","6,089","6,222","7,083","8,798","9,915","9,073","7,165","Mujer","2024"
"40-44","113,875","9,061","4,951","7,145","8,711","7,153","7,164","8,793","7,931","6,205","6,335","7,343","8,081","9,218","8,726","7,058","Mujer","2024"
"45-49","112,085","8,765","5,198","7,114","8,314","7,031","7,138","8,625","7,263","6,105","6,556","7,285","8,159","8,930","8,446","7,156","Mujer","2024"
"50-54","101,532","7,805","5,076","6,309","7,280","6,541","6,839","7,948","5,762","5,335","6,031","6,669","7,513","8,338","7,807","6,279","Mujer","2024"
"55-59","86,239","6,545","4,731","5,451","5,855","5,695","5,780","6,477","4,577","4,523","5,087","5,725","6,199","7,319","7,015","5,260","Mujer","2024"
"60-64","83,321","6,174","4,870","5,293","5,320","5,481","5,678","6,122","4,373","4,291","4,664","5,436","6,136","7,415","7,013","5,055","Mujer","2024"
"65-69","81,919","5,968","4,910","5,221","5,257","5,424","5,469","5,935","4,218","4,431","4,596","5,279","5,958","7,422","6,984","4,847","Mujer","2024"
"70-74","74,391","5,164","4,483","4,697","4,689","4,863","5,078","5,489","3,882","4,119","4,400","4,933","5,510","6,408","6,231","4,445","Mujer","2024"
"75-79","64,680","4,411","3,584","4,129","3,998","4,145","4,278","4,931","3,210","3,791","3,981","4,439","4,904","5,706","5,259","3,914","Mujer","2024"
"80 y más","107,114","7,389","7,006","6,706","6,044","7,390","7,783","8,423","4,055","5,670","6,455","7,512","7,855","9,755","8,674","6,397","Mujer","2024"
"Total","1,456,560","130,742","66,567","91,907","116,190","86,888","85,410","115,120","111,756","83,552","80,389","89,891","101,215","108,426","103,014","85,493","Hombre","2025"
"0-4","100,070","8,605","3,437","5,910","9,631","5,330","5,324","8,902","11,326","5,960","5,217","5,447","6,721","6,944","5,925","5,391","Hombre","2025"
"5-9","100,874","7,911","3,310","5,897","9,816","5,562","5,242","8,895","11,246","6,525","5,799","6,139","6,642","6,522","5,582","5,786","Hombre","2025"
"10-14","100,269","8,009","3,287","5,900","10,260","5,403","4,959","8,899","11,152","6,699","5,440","6,288","6,429","6,398","5,479","5,667","Hombre","2025"
"15-19","100,405","8,488","4,135","5,957","9,651","5,552","5,018","8,635","10,347","6,183","5,655","5,979","6,418","6,508","6,069","5,810","Hombre","2025"
"20-24","99,148","10,665","6,039","6,987","8,245","5,689","4,919","7,835","8,598","5,166","4,838","5,220","5,786","6,311","7,437","5,413","Hombre","2025"
"25-29","98,441","10,738","5,635","7,026","7,539","6,175","5,423","7,325","7,491","4,799","4,690","5,300","6,155","6,767","7,768","5,610","Hombre","2025"
"30-34","102,907","10,230","4,712","7,058","7,547","6,673","6,293","7,488","6,985","5,200","5,130","5,876","7,527","7,828","7,951","6,409","Hombre","2025"
"35-39","109,198","10,160","4,428","7,116","8,264","6,784","6,856","8,318","7,536","6,001","5,773","6,676","8,058","8,697","7,912","6,619","Hombre","2025"
"40-44","106,803","9,742","4,171","7,028","8,499","6,608","6,414","8,074","7,566","6,212","5,749","6,703","7,588","8,264","7,765","6,420","Hombre","2025"
"45-49","104,307","9,419","4,344","6,657","7,699","6,382","6,443","7,913","6,794","5,886","6,083","6,929","7,689","8,119","7,412","6,538","Hombre","2025"
"50-54","93,332","8,605","4,098","5,681","6,751","5,811","6,020","7,111","5,580","5,352","5,666","6,424","6,926","7,119","6,608","5,580","Hombre","2025"
"55-59","74,832","6,625","3,647","4,760","5,423","4,579","4,919","5,682","4,111","4,295","4,487","4,943","5,389","5,771","5,625","4,576","Hombre","2025"
"60-64","66,338","5,708","3,625","3,939","4,357","4,048","4,384","4,983","3,349","3,837","4,030","4,436","4,928","5,545","5,160","4,009","Hombre","2025"
"65-69","60,688","5,113","3,582","3,582","3,873","3,663","3,961","4,522","3,086","3,433","3,440","4,113","4,583","5,236","5,021","3,480","Hombre","2025"
"70-74","50,500","3,983","2,897","3,001","3,342","3,080","3,213","3,819","2,676","2,936","3,055","3,301","3,744","4,391","4,109","2,953","Hombre","2025"
"75-79","39,188","2,893","2,201","2,342","2,561","2,439","2,622","2,996","2,029","2,342","2,406","2,690","2,943","3,341","3,030","2,353","Hombre","2025"
"80 y más","49,260","3,848","3,019","3,066","2,732","3,110","3,400","3,723","1,884","2,726","2,931","3,427","3,689","4,665","4,161","2,879","Hombre","2025"
"Total","1,630,120","128,463","82,822","101,977","125,003","101,165","100,618","127,801","118,989","88,369","90,507","100,334","114,290","128,355","124,346","97,081","Mujer","2025"
"0-4","94,309","7,604","3,119","5,326","8,980","5,016","5,142","8,224","10,904","5,582","5,044","5,250","6,501","6,459","5,887","5,271","Mujer","2025"
"5-9","95,251","7,170","3,115","5,326","9,420","5,089","5,116","8,499","10,844","5,962","5,378","5,921","6,456","6,187","5,393","5,375","Mujer","2025"
"10-14","95,025","7,228","3,113","5,403","9,708","5,148","4,765","8,520","10,778","5,954","5,604","5,730","6,155","5,958","5,378","5,583","Mujer","2025"
"15-19","95,857","7,606","4,529","5,643","9,257","5,244","4,843","8,115","10,159","5,773","5,252","5,628","5,976","6,088","6,388","5,356","Mujer","2025"
"20-24","97,354","9,329","7,162","6,848","7,786","5,582","4,964","7,611","8,464","4,696","4,723","4,758","5,450","6,476","8,279","5,226","Mujer","2025"
"25-29","99,893","9,708","6,427","6,861","7,409","6,415","5,797","7,288","7,182","4,586","4,652","5,083","6,404","7,582","8,734","5,765","Mujer","2025"
"30-34","106,517","8,840","5,300","6,781","7,992","7,060","6,876","7,874","7,161","5,049","5,304","5,999","7,982","8,865","8,754","6,680","Mujer","2025"
"35-39","114,733","9,299","4,906","7,331","8,556","7,496","7,514","8,476","7,902","5,968","6,095","6,940","8,619","9,715","8,892","7,024","Mujer","2025"
"40-44","113,546","9,029","4,937","7,126","8,691","7,132","7,141","8,765","7,913","6,186","6,315","7,321","8,056","9,191","8,703","7,040","Mujer","2025"
"45-49","112,517","8,792","5,218","7,143","8,350","7,057","7,163","8,656","7,295","6,130","6,580","7,313","8,189","8,964","8,480","7,187","Mujer","2025"
"50-54","104,068","7,994","5,203","6,469","7,466","6,704","7,007","8,145","5,909","5,469","6,180","6,836","7,699","8,547","8,001","6,439","Mujer","2025"
"55-59","87,707","6,652","4,812","5,545","5,958","5,792","5,877","6,585","4,657","4,602","5,172","5,821","6,303","7,444","7,135","5,352","Mujer","2025"
"60-64","82,705","6,125","4,835","5,256","5,284","5,440","5,634","6,075","4,342","4,260","4,628","5,395","6,090","7,360","6,963","5,018","Mujer","2025"
"65-69","81,838","5,958","4,906","5,217","5,255","5,418","5,461","5,927","4,216","4,427","4,591","5,274","5,951","7,414","6,978","4,845","Mujer","2025"
"70-74","74,659","5,178","4,499","4,716","4,708","4,879","5,095","5,508","3,898","4,135","4,414","4,951","5,529","6,431","6,255","4,463","Mujer","2025"
"75-79","65,288","4,448","3,620","4,169","4,038","4,183","4,317","4,976","3,242","3,827","4,017","4,480","4,949","5,760","5,309","3,953","Mujer","2025"
"80 y más","108,853","7,503","7,121","6,817","6,145","7,510","7,906","8,557","4,123","5,763","6,558","7,634","7,981","9,914","8,817","6,504","Mujer","2025"
